"symbol","date","open","high","low","close","volume"
"PRZM","2015-09-23","2.9","2.92","2.9","2.92","120500"
"PRZM","2015-09-24","2.84","2.84","2.65","2.69","68840"
"PRZM","2015-09-25","2.7","2.77","2.7","2.77","4904"
"PRZM","2015-09-28","2.7","2.76","2.7","2.75","6125"
"PRZM","2015-09-29","2.79","2.81","2.79","2.8","1120"
"PRZM","2015-09-30","2.8","2.82","2.8","2.8","9101"
"PRZM","2015-10-02","2.8","2.8","2.62","2.72","19451"
"PRZM","2015-10-05","2.64","2.64","2.64","2.64","7980"
"PRZM","2015-10-06","2.63","2.64","2.11","2.44","26079"
"PRZM","2015-10-07","2.43","2.44","2.25","2.34","25825"
"PRZM","2015-10-08","2.15","2.32","2.12","2.15","22096"
"PRZM","2015-10-09","2.41","2.43","2.2","2.43","2005"
"PRZM","2015-10-13","2.2","2.47","2.2","2.2","621"
"PRZM","2015-10-14","2.24","2.24","2.24","2.2","3"
"PRZM","2015-10-15","2.21","2.57","2.1","2.57","5402"
"PRZM","2015-10-16","2.13","2.25","2.13","2.2","80066"
"PRZM","2015-10-19","2.1","2.1","2.1","2.1","6902"
"PRZM","2015-10-20","2.1","2.1","2.1","2.1","882"
"PRZM","2015-10-21","2.13","2.18","2.1","2.18","6332"
"PRZM","2015-10-22","2.12","2.18","2.12","2.18","257"
"PRZM","2015-10-23","2.12","2.12","2.12","2.12","133"
"PRZM","2015-10-26","2.45","2.45","2.45","2.45","100"
"PRZM","2015-10-27","2.15","2.17","2.15","2.15","2399"
"PRZM","2015-10-28","2.16","2.25","1.58","2.25","10278"
"PRZM","2015-10-29","1.64","1.94","1.64","1.92","6422"
"PRZM","2015-10-30","1.93","1.93","1.7","1.7","5422"
"PRZM","2015-11-02","1.41","1.66","0.76","1.4","66471"
"PRZM","2015-11-03","1.29","1.37","1.19","1.27","18004"
"PRZM","2015-11-04","1.29","1.41","0.99","0.9901","2257"
"PRZM","2015-11-05","1.04","1.49","1.01","1.4","25305"
"PRZM","2015-11-06","1.5","1.5","1.28","1.36","30908"
"PRZM","2015-11-09","1.26","1.28","0.95","1.26","41789"
"PRZM","2015-11-10","1.19","1.27","1.11","1.13","8942"
"PRZM","2015-11-11","1.15","1.34","1.13","1.13","1367"
"PRZM","2015-11-12","1.33","1.33","1.13","1.13","5612"
"PRZM","2015-11-13","1.12","1.12","1.04","1.04","1363"
"PRZM","2015-11-16","1.14","1.34","1.14","1.32","20651"
"PRZM","2015-11-17","1.34","1.34","1.31","1.31","327"
"PRZM","2015-11-18","1.03","1.34","1.03","1.08","7894"
"PRZM","2015-11-19","1.2","1.2","1.2","1.2","867"
"PRZM","2015-11-20","1.11","1.43","1.04","1.33","6965"
"PRZM","2015-11-24","1.14","1.35","1.14","1.35","6324"
"PRZM","2015-11-25","1.25","1.35","1.2","1.25","32159"
"PRZM","2015-11-27","1.35","1.35","1.35","1.35","100"
"PRZM","2015-11-30","1.11","1.27","1.11","1.22","1300"
"PRZM","2015-12-01","1.33","1.33","1.33","1.33","350"
"PRZM","2015-12-02","1.12","1.12","1.12","1.12","200"
"PRZM","2015-12-03","1.11","1.32","1.11","1.32","1265"
"PRZM","2015-12-04","1.32","1.32","1.2","1.2","10340"
"PRZM","2015-12-07","1.13","1.32","1.12","1.14","3162"
"PRZM","2015-12-08","1.1","1.26","1.05","1.1","39508"
"PRZM","2015-12-09","1.09","1.4","1.08","1.13","60584"
"PRZM","2015-12-10","1.31","1.39","1.11","1.14","3605"
"PRZM","2015-12-11","1.31","1.33","1.08","1.08","7538"
"PRZM","2015-12-14","1.18","1.25","1.08","1.11","32233"
"PRZM","2015-12-15","1.11","1.22","1.08","1.08","15005"
"PRZM","2015-12-16","1.11","1.21","1.09","1.09","4540"
"PRZM","2015-12-17","1.13","1.2","1.08","1.16","2658"
"PRZM","2015-12-18","1.1","1.17","1.08","1.13","10214"
"PRZM","2015-12-21","1.08","1.08","1.03","1.07","6500"
"PRZM","2015-12-22","0.99","1.19","0.99","1.07","5117"
"PRZM","2015-12-23","1.1","1.1","0.98","1.05","4623"
"PRZM","2015-12-28","1.01","1.05","1.0","1.05","18408"
"PRZM","2015-12-29","1.04","1.05","1.0","1.03","5912"
"PRZM","2015-12-30","1.03","1.03","0.99","0.99","1691"
"PRZM","2015-12-31","1.05","1.29","0.83","1.02","48474"
"PRZM","2016-01-04","0.99","0.99","0.92","0.99","2227"
"PRZM","2016-01-05","1.0","1.0","0.92","0.99","246"
"PRZM","2016-01-06","0.98","0.98","0.87","0.8707","200"
"PRZM","2016-01-07","0.87","0.87","0.87","0.87","181"
"PRZM","2016-01-08","1.01","1.02","0.85","0.8507","1530"
"PRZM","2016-01-11","0.87","0.87","0.83","0.84","6236"
"PRZM","2016-01-12","0.83","0.83","0.83","0.84","16"
"PRZM","2016-01-13","0.84","1.0","0.64","0.9401","50183"
"PRZM","2016-01-14","0.9","0.91","0.85","0.8456","1458"
"PRZM","2016-01-19","0.84","0.84","0.74","0.79","263"
"PRZM","2016-01-20","0.76","0.79","0.76","0.79","712"
"PRZM","2016-01-21","0.56","0.98","0.56","0.799","8852"
"PRZM","2016-01-25","0.72","0.83","0.7","0.7","2326"
"PRZM","2016-01-26","0.74","0.74","0.68","0.729","4257"
"PRZM","2016-01-27","0.79","0.79","0.79","0.79","200"
"PRZM","2016-01-28","0.87","0.94","0.71","0.94","770"
"PRZM","2016-01-29","0.85","0.85","0.67","0.7","2758"
"PRZM","2016-02-01","0.93","0.93","0.69","0.69","18708"
"PRZM","2016-02-02","0.65","0.67","0.6","0.61","18708"
"PRZM","2016-02-03","0.6","0.64","0.6","0.64","4594"
"PRZM","2016-02-04","0.61","0.61","0.61","0.6101","557"
"PRZM","2016-02-05","0.59","0.6","0.58","0.6","500"
"PRZM","2016-02-08","0.64","0.64","0.59","0.59","17914"
"PRZM","2016-02-09","0.59","0.61","0.59","0.61","5035"
"PRZM","2016-02-10","0.57","0.6","0.56","0.6","3660"
"PRZM","2016-02-11","0.59","0.59","0.57","0.571","7700"
"PRZM","2016-02-12","0.59","0.6","0.58","0.6","1530"
"PRZM","2016-02-16","0.63","0.63","0.6","0.6","1973"
"PRZM","2016-02-17","0.58","0.59","0.58","0.59","5717"
"PRZM","2016-02-18","0.56","0.59","0.56","0.5601","10200"
"PRZM","2016-02-19","0.55","0.55","0.52","0.5201","11609"
"PRZM","2016-02-22","0.52","0.52","0.52","0.5201","5002"
"PRZM","2016-02-23","0.51","0.51","0.49","0.49","3204"
"PRZM","2016-02-24","0.46","0.5","0.46","0.47","9151"
"PRZM","2016-02-25","0.5","0.53","0.5","0.53","2601"
"PRZM","2016-02-26","0.58","0.58","0.47","0.4701","3427"
"PRZM","2016-02-29","0.5","0.5","0.5","0.5","62"
"PRZM","2016-03-01","0.46","0.48","0.42","0.4775","29196"
"PRZM","2016-03-03","0.5","0.5","0.46","0.4572","20556"
"PRZM","2016-03-04","0.45","0.48","0.35","0.3501","6223"
