"symbol","date","open","high","low","close","volume"
"PSCH","2010-04-07","25.16","25.16","25.07","24.63","3100"
"PSCH","2010-04-08","25.02","25.04","24.85","24.56","1100"
"PSCH","2010-04-09","24.95","24.95","24.92","24.49","800"
"PSCH","2010-04-12","25.04","25.04","25.04","24.61","1000"
"PSCH","2010-04-13","25.0","25.0","25.0","24.57","200"
"PSCH","2010-04-14","25.0","25.0","25.0","24.57","0"
"PSCH","2010-04-15","25.53","25.59","25.53","25.15","1400"
"PSCH","2010-04-16","25.71","25.71","25.5","25.06","1600"
"PSCH","2010-04-19","25.68","25.68","25.55","25.16","1300"
"PSCH","2010-04-20","25.71","25.82","25.59","25.37","4200"
"PSCH","2010-04-21","25.89","25.89","25.67","25.22","1500"
"PSCH","2010-04-22","30.84","30.84","25.28","25.13","7100"
"PSCH","2010-04-23","25.6","25.73","25.6","25.28","800"
"PSCH","2010-04-26","25.75","25.76","25.61","25.17","1300"
"PSCH","2010-04-27","25.34","25.55","25.21","24.77","31600"
"PSCH","2010-04-28","25.22","25.39","25.21","24.87","442600"
"PSCH","2010-04-29","25.4","25.99","25.4","25.54","444400"
"PSCH","2010-04-30","25.98","25.98","25.32","24.88","7000"
"PSCH","2010-05-03","25.41","25.7","25.33","25.25","55900"
"PSCH","2010-05-04","25.46","25.46","25.1","24.76","29400"
"PSCH","2010-05-05","24.97","25.29","24.97","24.65","8700"
"PSCH","2010-05-06","24.84","25.05","13.01","23.96","26400"
"PSCH","2010-05-07","23.29","24.52","23.29","23.27","16800"
"PSCH","2010-05-10","24.39","24.68","24.3","23.98","33800"
"PSCH","2010-05-11","24.56","24.97","24.56","24.38","9800"
"PSCH","2010-05-12","25.27","25.45","24.87","25.01","7800"
"PSCH","2010-05-13","25.36","25.36","25.19","24.83","3000"
"PSCH","2010-05-14","25.05","25.05","24.66","24.4","18800"
"PSCH","2010-05-17","25.07","25.09","24.69","24.65","7000"
"PSCH","2010-05-18","25.34","25.35","24.88","24.48","15600"
"PSCH","2010-05-19","24.7","24.75","24.56","24.31","7200"
"PSCH","2010-05-20","23.56","24.39","23.56","23.47","12800"
"PSCH","2010-05-21","23.47","23.67","23.43","23.2","4900"
"PSCH","2010-05-24","23.72","23.91","23.72","23.46","6600"
"PSCH","2010-05-25","23.07","23.54","23.07","23.13","3200"
"PSCH","2010-05-26","23.56","24.0","23.56","23.25","2200"
"PSCH","2010-05-27","24.25","24.25","23.95","23.69","2600"
"PSCH","2010-05-28","24.25","24.33","24.14","23.74","5000"
"PSCH","2010-06-01","23.86","24.14","23.65","23.3","4400"
"PSCH","2010-06-02","23.87","24.27","23.81","23.85","11200"
"PSCH","2010-06-03","24.48","24.67","24.43","24.2","3000"
"PSCH","2010-06-04","24.23","24.24","23.79","23.38","2200"
"PSCH","2010-06-07","23.73","23.76","23.38","22.97","8200"
"PSCH","2010-06-08","23.08","23.11","22.93","22.61","2800"
"PSCH","2010-06-09","23.0","23.27","23.0","22.73","2200"
"PSCH","2010-06-10","23.2","23.44","23.2","23.03","1200"
"PSCH","2010-06-11","23.77","23.77","23.57","23.31","1400"
"PSCH","2010-06-14","24.15","24.17","23.93","23.51","1800"
"PSCH","2010-06-15","24.09","24.32","23.99","23.86","6000"
"PSCH","2010-06-16","24.13","24.18","24.13","23.73","800"
"PSCH","2010-06-17","24.06","24.18","24.01","23.76","3600"
"PSCH","2010-06-18","24.04","24.28","24.02","23.64","5000"
"PSCH","2010-06-21","24.06","24.29","23.9","23.5","6400"
"PSCH","2010-06-22","24.09","24.24","23.83","23.46","3200"
"PSCH","2010-06-23","23.66","23.72","23.64","23.23","1600"
"PSCH","2010-06-24","23.59","23.6","23.59","23.19","600"
"PSCH","2010-06-25","23.52","23.83","23.5","23.42","4800"
"PSCH","2010-06-28","23.83","23.99","23.83","23.48","2600"
"PSCH","2010-06-29","23.49","23.49","23.19","22.79","1000"
"PSCH","2010-06-30","23.36","23.36","23.13","22.73","5700"
"PSCH","2010-07-01","22.31","22.59","22.17","22.2","1600"
"PSCH","2010-07-02","22.5","22.59","22.48","22.2","1000"
"PSCH","2010-07-06","22.74","22.84","22.45","22.06","400"
"PSCH","2010-07-07","22.42","22.79","22.42","22.38","5600"
"PSCH","2010-07-08","23.01","23.01","22.95","22.61","2400"
"PSCH","2010-07-09","23.02","23.19","23.02","22.79","1600"
"PSCH","2010-07-12","23.23","23.26","23.01","22.68","34000"
"PSCH","2010-07-13","23.09","23.41","23.09","23.0","11400"
"PSCH","2010-07-14","23.34","23.55","23.32","22.96","2000"
"PSCH","2010-07-15","23.51","23.51","23.26","23.01","1200"
"PSCH","2010-07-16","23.12","23.13","22.71","22.33","3200"
"PSCH","2010-07-19","22.78","22.78","22.47","22.31","5300"
"PSCH","2010-07-20","22.45","22.93","22.45","22.53","2400"
"PSCH","2010-07-21","23.02","23.02","22.47","22.08","1000"
"PSCH","2010-07-22","22.84","22.84","22.65","22.35","2300"
"PSCH","2010-07-23","22.79","23.06","22.79","22.66","1100"
