"symbol","date","open","high","low","close","volume"
"PSG","2014-01-02","13.36","13.36","13.36","13.36","0"
"PSG","2014-01-03","13.36","13.36","13.36","13.36","0"
"PSG","2014-01-06","13.23","13.23","13.23","13.23","500"
"PSG","2014-01-07","13.27","13.27","13.21","13.24","11000"
"PSG","2014-01-08","13.22","13.22","13.22","13.22","5000"
"PSG","2014-01-09","13.22","13.22","13.22","13.22","0"
"PSG","2014-01-10","13.0","13.05","12.87","12.88","5400"
"PSG","2014-01-13","12.88","12.88","12.88","12.88","0"
"PSG","2014-01-14","12.88","12.88","12.88","12.88","0"
"PSG","2014-01-15","12.61","12.61","12.56","12.56","1500"
"PSG","2014-01-16","12.54","12.54","12.5","12.5","500"
"PSG","2014-01-17","12.48","12.48","12.48","12.48","200"
"PSG","2014-01-21","12.49","12.49","12.49","12.49","100"
"PSG","2014-01-22","12.29","12.29","12.29","12.29","200"
"PSG","2014-01-23","12.29","12.29","12.29","12.29","0"
"PSG","2014-01-24","11.49","11.49","11.49","11.49","15500"
"PSG","2014-01-27","11.6","11.68","11.57","11.61","3000"
"PSG","2014-01-28","11.61","11.61","11.61","11.61","100"
"PSG","2014-01-29","11.61","11.61","11.61","11.61","0"
"PSG","2014-01-30","11.64","11.64","11.64","11.64","1900"
"PSG","2014-01-31","11.57","11.57","11.57","11.57","900"
"PSG","2014-02-03","11.57","11.57","11.56","11.56","1000"
"PSG","2014-02-04","11.56","11.56","11.56","11.56","0"
"PSG","2014-02-05","11.56","11.56","11.56","11.56","0"
"PSG","2014-02-06","11.56","11.56","11.56","11.56","0"
"PSG","2014-02-07","11.56","11.56","11.56","11.56","0"
"PSG","2014-02-10","11.56","11.56","11.56","11.56","0"
"PSG","2014-02-11","11.73","11.73","11.65","11.65","1200"
"PSG","2014-02-12","11.9","11.9","11.89","11.89","500"
"PSG","2014-02-13","11.9","13.13","11.9","12.85","2700"
"PSG","2014-02-14","12.99","12.99","12.84","12.85","1500"
"PSG","2014-02-18","12.68","12.68","12.64","12.64","300"
"PSG","2014-02-19","12.64","12.64","12.64","12.64","0"
"PSG","2014-02-20","12.64","12.69","12.63","12.63","500"
"PSG","2014-02-21","12.57","12.57","12.57","12.57","1800"
"PSG","2014-02-24","12.8","12.82","12.8","12.82","1000"
"PSG","2014-02-25","12.82","12.82","12.82","12.82","0"
"PSG","2014-02-26","12.82","12.82","12.82","12.82","0"
"PSG","2014-02-27","13.2","13.2","13.11","13.11","1200"
"PSG","2014-02-28","13.15","13.15","13.13","13.13","1600"
"PSG","2014-03-03","12.92","12.94","12.9","12.94","1700"
"PSG","2014-03-04","12.94","12.94","12.94","12.94","0"
