"symbol","date","open","high","low","close","volume"
"PTI","2005-12-08","23.8","24.5","22.3","21.55","4021300"
"PTI","2005-12-09","22.98","23.6","22.85","22.57","654300"
"PTI","2005-12-12","23.05","23.1","22.55","21.74","461900"
"PTI","2005-12-13","22.72","22.9","22.45","21.79","391700"
"PTI","2005-12-14","22.55","22.72","22.25","21.74","253600"
"PTI","2005-12-15","22.65","22.65","22.05","21.22","219600"
"PTI","2005-12-16","22.27","22.3","22.09","21.25","252600"
"PTI","2005-12-19","22.25","22.7","22.15","21.3","211100"
"PTI","2005-12-20","22.24","22.52","22.15","21.22","194200"
"PTI","2005-12-21","22.2","22.95","22.2","21.83","214500"
"PTI","2005-12-22","22.54","23.58","22.5","22.11","113400"
"PTI","2005-12-23","22.75","22.89","22.5","21.71","82100"
"PTI","2005-12-27","22.74","22.8","22.42","21.58","28100"
"PTI","2005-12-28","22.5","22.5","21.79","20.98","131400"
"PTI","2005-12-29","22.1","22.7","22.04","21.68","151400"
"PTI","2005-12-30","22.7","23.23","22.4","22.2","128200"
"PTI","2006-01-03","23.2","23.85","23.14","22.84","201000"
"PTI","2006-01-04","23.9","24.62","23.7","23.26","230200"
"PTI","2006-01-05","24.2","24.4","23.81","23.05","98500"
"PTI","2006-01-06","24.16","24.91","24.16","23.25","132300"
"PTI","2006-01-09","24.35","24.59","24.25","23.28","65600"
"PTI","2006-01-10","24.05","24.05","23.1","22.27","200300"
"PTI","2006-01-11","23.1","23.65","22.18","22.46","270800"
"PTI","2006-01-12","23.25","23.3","22.95","22.03","37800"
"PTI","2006-01-13","22.99","23.0","22.6","21.79","62400"
"PTI","2006-01-17","22.75","22.75","22.0","21.31","57700"
"PTI","2006-01-18","22.1","22.25","22.0","21.3","85300"
"PTI","2006-01-19","22.85","23.16","22.8","22.08","104400"
"PTI","2006-01-20","23.1","23.16","22.44","21.55","131500"
"PTI","2006-01-23","22.7","23.16","22.45","22.18","47200"
"PTI","2006-01-24","23.16","23.4","23.11","22.32","43800"
"PTI","2006-01-25","23.35","23.72","23.35","22.71","38600"
"PTI","2006-01-26","23.75","24.02","23.66","22.84","99700"
"PTI","2006-01-27","24.0","24.25","23.96","22.99","26300"
"PTI","2006-01-30","23.94","24.0","23.75","22.84","29700"
"PTI","2006-01-31","23.9","24.09","22.88","22.17","215900"
"PTI","2006-02-01","22.95","23.33","22.55","22.13","193000"
"PTI","2006-02-02","23.5","23.8","23.5","22.8","338100"
"PTI","2006-02-03","23.8","24.1","23.8","22.95","112200"
"PTI","2006-02-06","23.96","24.05","23.8","22.99","72400"
"PTI","2006-02-07","24.0","24.03","23.83","22.99","90000"
"PTI","2006-02-08","24.07","24.07","23.65","22.79","19800"
"PTI","2006-02-09","23.78","24.6","23.7","23.28","45900"
"PTI","2006-02-10","24.5","25.18","24.4","23.37","111400"
"PTI","2006-02-13","24.55","24.6","24.11","23.1","68800"
"PTI","2006-02-14","24.12","24.12","23.3","22.75","73700"
"PTI","2006-02-15","23.8","23.95","23.66","22.84","51800"
"PTI","2006-02-16","24.0","24.94","24.0","23.85","72300"
"PTI","2006-02-17","24.95","25.1","24.6","24.04","16700"
"PTI","2006-02-21","25.11","25.5","24.17","23.2","127500"
"PTI","2006-02-22","24.26","24.52","24.25","23.39","49800"
"PTI","2006-02-23","24.89","24.89","24.12","23.36","44700"
"PTI","2006-02-24","24.4","24.48","24.1","23.12","32200"
"PTI","2006-02-27","24.2","24.43","24.06","23.06","89900"
"PTI","2006-02-28","24.07","24.09","23.76","22.99","46000"
"PTI","2006-03-01","24.05","24.38","23.98","23.14","39400"
"PTI","2006-03-02","24.36","24.48","24.0","23.18","18400"
"PTI","2006-03-03","24.1","24.15","23.9","23.07","66200"
"PTI","2006-03-06","24.2","24.32","23.2","22.81","67100"
"PTI","2006-03-07","23.3","23.52","23.01","22.11","60100"
"PTI","2006-03-08","23.08","23.23","22.91","22.25","41400"
