"symbol","date","open","high","low","close","volume"
"PVG","2006-12-05","18.55","18.56","18.0","18.0","2275600"
"PVG","2006-12-06","18.0","18.3","18.0","18.1","189600"
"PVG","2006-12-07","18.15","18.35","18.1","18.25","126200"
"PVG","2006-12-08","18.25","18.3","18.0","18.01","108200"
"PVG","2006-12-11","18.05","18.25","18.01","18.12","94900"
"PVG","2006-12-12","18.14","18.7","18.1","18.63","455700"
"PVG","2006-12-13","18.78","18.85","18.57","18.76","274200"
"PVG","2006-12-14","18.8","19.24","18.74","19.01","164100"
"PVG","2006-12-15","18.95","19.1","18.52","18.99","82500"
"PVG","2006-12-18","19.07","19.7","18.26","18.91","225300"
"PVG","2006-12-19","18.66","19.15","18.62","19.1","68800"
"PVG","2006-12-20","18.9","19.11","18.85","19.06","70000"
"PVG","2006-12-21","19.02","19.35","18.94","19.23","68300"
"PVG","2006-12-22","19.05","19.7","18.92","19.2","66400"
"PVG","2006-12-26","19.35","19.5","18.25","19.27","46200"
"PVG","2006-12-27","19.3","19.7","19.3","19.65","68100"
"PVG","2006-12-28","20.25","20.25","19.91","20.2","73700"
"PVG","2006-12-29","20.28","20.45","19.75","19.88","43900"
"PVG","2007-01-03","19.9","20.35","18.18","20.16","182700"
"PVG","2007-01-04","20.2","20.5","18.68","20.35","139200"
"PVG","2007-01-05","20.1","20.35","19.8","20.34","164700"
"PVG","2007-01-08","20.27","20.5","20.15","20.41","104200"
"PVG","2007-01-09","20.4","20.44","20.0","20.3","71500"
"PVG","2007-01-10","20.25","21.23","20.1","20.25","45700"
"PVG","2007-01-11","20.23","20.45","20.03","20.4","99200"
"PVG","2007-01-12","20.3","20.55","20.25","20.5","48200"
"PVG","2007-01-16","20.75","21.19","20.71","20.74","145400"
"PVG","2007-01-17","20.58","20.95","20.01","20.21","184900"
"PVG","2007-01-18","20.21","20.77","20.05","20.31","94700"
"PVG","2007-01-19","20.3","20.68","20.3","20.6","91500"
"PVG","2007-01-22","20.7","20.9","20.38","20.5","58800"
"PVG","2007-01-23","20.41","21.0","20.4","20.56","86900"
"PVG","2007-01-24","20.64","21.5","20.54","20.92","27300"
"PVG","2007-01-25","20.67","21.11","20.67","20.69","113200"
"PVG","2007-01-26","20.72","20.99","20.55","20.7","81000"
"PVG","2007-01-29","20.8","21.02","20.3","20.41","57500"
"PVG","2007-01-30","20.55","20.83","20.45","20.78","203900"
"PVG","2007-01-31","20.53","21.5","20.53","21.18","75800"
"PVG","2007-02-01","20.91","21.51","20.69","21.51","59800"
"PVG","2007-02-02","21.4","22.97","21.17","22.14","60500"
"PVG","2007-02-05","22.05","23.0","21.8","22.45","88300"
"PVG","2007-02-06","22.2","22.76","21.6","22.31","115400"
"PVG","2007-02-07","21.75","23.0","21.75","22.85","107700"
"PVG","2007-02-08","22.77","23.17","22.75","22.85","59300"
"PVG","2007-02-09","22.97","23.44","22.82","22.89","132400"
"PVG","2007-02-12","22.99","23.58","22.75","22.89","65600"
