"symbol","date","open","high","low","close","volume"
"PW","1980-03-17","4.62","4.88","4.62","1.04","5300"
"PW","1980-03-18","4.75","4.75","4.75","1.07","100"
"PW","1980-03-19","4.75","4.88","4.75","1.09","700"
"PW","1980-03-20","4.88","4.88","4.75","1.09","300"
"PW","1980-03-21","4.88","4.88","4.88","1.09","100"
"PW","1980-03-24","4.88","4.88","4.88","1.09","0"
"PW","1980-03-25","4.75","4.75","4.62","1.07","1400"
"PW","1980-03-26","4.62","4.62","4.5","1.01","1400"
"PW","1980-03-27","4.5","4.62","4.5","1.01","300"
"PW","1980-03-28","4.62","4.62","4.62","1.04","200"
"PW","1980-03-31","4.62","4.62","4.62","1.04","300"
"PW","1980-04-01","4.75","4.75","4.75","1.07","600"
"PW","1980-04-02","4.62","4.62","4.62","1.04","500"
"PW","1980-04-03","4.62","4.62","4.62","1.04","200"
"PW","1980-04-07","4.62","4.62","4.62","1.04","900"
"PW","1980-04-08","4.62","4.62","4.5","1.01","4300"
"PW","1980-04-09","4.5","4.5","4.5","1.01","100"
"PW","1980-04-10","4.5","4.75","4.5","1.01","700"
"PW","1980-04-11","4.5","4.62","4.5","1.01","3000"
"PW","1980-04-14","4.62","4.62","4.62","1.04","900"
"PW","1980-04-15","4.5","4.5","4.5","1.01","500"
"PW","1980-04-16","4.62","4.75","4.62","1.07","1700"
"PW","1980-04-17","4.75","5.0","4.75","1.12","1300"
"PW","1980-04-18","5.0","5.12","5.0","1.12","1500"
"PW","1980-04-21","5.0","5.0","4.88","1.12","500"
"PW","1980-04-22","5.12","5.12","5.12","1.15","200"
"PW","1980-04-23","5.0","5.0","4.88","1.12","400"
"PW","1980-04-24","5.0","5.0","5.0","1.12","1000"
"PW","1980-04-25","5.0","5.0","4.88","1.12","600"
"PW","1980-04-28","5.0","5.0","5.0","1.12","1000"
"PW","1980-04-29","4.88","4.88","4.88","1.09","200"
"PW","1980-04-30","4.88","4.88","4.88","1.09","300"
"PW","1980-05-01","4.88","4.88","4.88","1.09","300"
"PW","1980-05-02","5.0","5.0","5.0","1.12","600"
"PW","1980-05-05","5.0","5.0","5.0","1.12","300"
"PW","1980-05-06","5.0","5.0","4.88","1.12","400"
"PW","1980-05-07","5.12","5.25","5.12","1.15","1700"
